"","species_names","","","","","","","","","",""
"1","Hhannerae","0.5286","1","0.931","0.6061","0.1304","1",NA,NA,NA,"43"
"2","Hwaimeae","0.2759","0.9","0.5909","0.1892","0","0.8",NA,NA,NA,"16"
"3","Masheii","0.6944","0.9302","0.92","0.4118","0.1818","0.9545",NA,NA,NA,"14"
"4","Mpyramidata","0.6829","1","0.9677","0.7273","0.3488","1",NA,NA,NA,"40"
"5","Pekmanii","0.6667","1","0.9643","0.8","0.0625","1",NA,NA,NA,"93"
"6","Psargentii","0.7946","1","0.9783","0.9259","0.3667","1",NA,NA,NA,"99"
"7","Qboyntonii","0.6031","1","1","0.662","0.3171","1",NA,NA,NA,"77"
"8","Qgeorgiana","0.6542","1","0.9213","0.6569","0.3276","0.9524",NA,NA,NA,"36"
"9","Qoglethorpensis","0.7846","1","1","0.9672","0.3659","1",NA,NA,NA,"145"
"10","Zdecumbens","0.7763","1","1","0.875","0.2632","1",NA,NA,NA,"205"
"11","Zlucayana","0.9068","1","1","0.9306","0.625","1",NA,NA,NA,"244"
