"","species_names","","","","","","","","","",""
"1","Hhannerae","0.6939","1","0.931","0.6061","0","1",NA,NA,NA,"43"
"2","Hwaimeae","0.4","0.9","0.5909","0.1892","NaN","0.8",NA,NA,NA,"16"
"3","Masheii","0.7869","0.9302","0.92","0.4118","NaN","0.9545",NA,NA,NA,"14"
"4","Mpyramidata","0.8017","1","0.9677","0.7273","NaN","1",NA,NA,NA,"40"
"5","Pekmanii","0.8837","1","0.9643","0.8","0.5","1",NA,NA,NA,"93"
"6","Psargentii","0.9512","1","0.9783","0.9259","NaN","1",NA,NA,NA,"99"
"7","Qboyntonii","0.701","1","1","0.662","0.2857","1",NA,NA,NA,"77"
"8","Qgeorgiana","0.7263","1","0.9213","0.6569","0.3913","0.9524",NA,NA,NA,"36"
"9","Qoglethorpensis","0.9406","1","1","0.9672","0.6667","1",NA,NA,NA,"145"
"10","Zdecumbens","0.8485","1","1","0.875","0.2222","1",NA,NA,NA,"205"
"11","Zlucayana","0.951","1","1","0.9306","NaN","1",NA,NA,NA,"244"
